X,Long,Lat,AreaSKM,Perimeter KM,HII,Elevation_m,County,siteid,sitenames,inMod,WDFWDetection,WDFWReproDetection,WDFWsurvey,eBirdDetect,Percent Canopy Cover,River Indicator,Perimeter Complexity,NLCDCode,Forest Type,Developed Type,Other Type,Open water Type
1416,-121.93481,48.07399,0.09594238,2.898799805,31,187,Snohomish,NA,NA,0,0,0,0,0,0,0,9.358645132,11,0,0,0,1
1417,-124.04744,46.3593,0.042,1.606055384,28,7,Pacific,NA,NA,0,0,0,0,0,0,0,7.836747831,11,0,0,0,1
1418,-121.85134,47.65508,0.13,6.98929923,14,172,King,NA,NA,0,0,0,0,0,52,0,19.38482827,90,0,0,0,1
1419,-121.78062,47.54697,0.059,2.146155066,13,306,King,NA,NA,0,0,0,0,0,78,0,8.835580579,71,0,0,1,0
1420,-121.79784,45.98459,0.048,1.501568511,0,1436,Skamania,NA,NA,0,0,0,0,0,0,0,6.853691211,11,0,0,0,1
1421,-121.76375,48.064,0.152,2.60450922,18,757,Snohomish,NA,NA,0,0,0,0,0,0,0,6.680425193,11,0,0,0,1
1422,-121.76547,48.57619,0.20367792,4.115000583,10,294,Skagit,NA,NA,0,0,0,0,0,64,0,9.117965099,42,1,0,0,0
1423,-121.72538,47.7015,0.041,1.520920708,14,402,King,NA,NA,0,0,0,0,0,59,0,7.511291989,90,0,0,0,1
1424,-121.70182,48.01705,0.046,1.411331977,14,1106,Snohomish,NA,NA,0,0,0,0,0,0,0,6.580369275,11,0,0,0,1
1425,-122.84589,47.99093,0.064,1.994584747,30,201,Jefferson,NA,NA,0,0,0,0,0,0,0,7.884288482,11,0,0,0,1
1426,-121.57903,48.6677,0.191,3.282670793,5,1341,Whatcom,NA,NA,0,0,0,0,0,0,0,7.511222855,11,0,0,0,1
1427,-117.52474,48.63519,0.27727158,5.424583884,15,975,Stevens,NA,NA,0,0,0,0,0,0,0,10.3018151,11,0,0,0,1
1428,-122.79666,47.23767,0.046,1.330337016,22,68,Pierce,NA,NA,0,0,0,0,0,0,0,6.20272832,11,0,0,0,1
1429,-121.54842,47.5975,0.062,1.757350988,1,1306,King,NA,NA,0,0,0,0,0,0,0,7.057691407,11,0,0,0,1
1430,-121.47992,47.6606,0.068,1.664751569,5,1293,King,NA,NA,0,0,0,0,0,0,0,6.384030841,11,0,0,0,1
1431,-121.47972,47.48514,0.064,1.833554979,5,1211,King,NA,NA,0,0,0,0,0,0,0,7.247762438,11,0,0,0,1
1432,-121.60608,47.63674,0.201,2.761207882,6,895,King,NA,NA,0,0,0,0,0,0,0,6.158870545,11,0,0,0,1
1433,-121.23596,47.47577,0.1576897,3.16179458,6,992,Kittitas,NA,NA,0,0,0,0,0,0,0,7.962179924,11,0,0,0,1
1434,-121.29617,47.46753,0.08990363,2.214038652,6,1519,Kittitas,NA,NA,0,0,0,0,0,0,0,7.384083254,11,0,0,0,1
1435,-121.29454,47.56879,0.176,2.482703129,9,1464,King,NA,NA,0,0,0,0,0,0,0,5.917911383,11,0,0,0,1
1436,-120.91108,47.18457,0.074,1.767234592,39,575,Kittitas,NA,NA,0,0,0,0,0,0,0,6.496483564,11,0,0,0,1
1437,-120.9077,47.5573,0.067,1.701665783,6,1465,Chelan,NA,NA,0,0,0,0,0,0,0,6.574108462,11,0,0,0,1
1438,-120.89115,47.17867,0.05979237,1.507127809,39,569,Kittitas,NA,NA,0,0,0,0,0,0,0,6.163497148,11,0,0,0,1
1439,-121.09522,47.21364,0.049,2.435456016,23,636,Kittitas,NA,NA,0,0,0,0,0,22,0,11.00226879,71,0,0,1,0
1440,-122.5192,45.88628,0.065,1.385172314,26,221,Clark,NA,NA,0,0,0,0,0,0,0,5.433092815,11,0,0,0,1
